Locus_tag	Product	Protein_ID	Start	End
pgaptmp_002735	PTS system mannose/fructose/sorbose family transporter subunit IID	WP_012425163.1	47673	48530
pgaptmp_002736	transketolase	WP_003372393.1	49103	49927
pgaptmp_002737	transketolase family protein	WP_012061021.1	49927	50871
pgaptmp_002738	YitT family protein	WP_017826731.1	51217	52068
pgaptmp_002739	cell division ATP-binding protein FtsE	WP_003413786.1	52186	52872
pgaptmp_002740	permease-like cell division protein FtsX	WP_003374623.1	52862	53752
pgaptmp_002741	S41 family peptidase	WP_012422767.1	54128	55387
pgaptmp_002742	PDZ domain-containing protein	WP_012424947.1	55398	56684
pgaptmp_002743	excinuclease ABC subunit UvrB	WP_012451659.1	57123	59096
pgaptmp_002744	excinuclease ABC subunit UvrA	WP_012424389.1	59101	61923
pgaptmp_002745	FHA domain-containing protein	WP_003373198.1	62297	62740
pgaptmp_002746	FtsW/RodA/SpoVE family cell cycle protein	WP_012422619.1	62792	63982
pgaptmp_002747	peptidoglycan D%2CD-transpeptidase FtsI family protein	WP_012423730.1	63985	65463
pgaptmp_002748	excinuclease ABC subunit UvrC	WP_002582509.1	65723	67597
pgaptmp_002749	UDP-N-acetylmuramate dehydrogenase	WP_012425771.1	67670	68584
pgaptmp_002750	RNase adapter RapZ	WP_003371293.1	68909	69793
pgaptmp_002751	gluconeogenesis factor YvcK family protein	WP_017353874.1	69790	71151
pgaptmp_002752	DNA-binding protein WhiA	WP_003370187.1	71167	72114
pgaptmp_002753	Dabb family protein	WP_003374435.1	72252	72536
pgaptmp_002754	hypothetical protein	-2+	72868	73116
pgaptmp_002755	DNA polymerase III subunit alpha	WP_012449896.1	73159	76761
pgaptmp_002756	6-phosphofructokinase	WP_012425032.1	77140	78102
pgaptmp_002757	pyruvate kinase	WP_012423887.1	78162	79577
pgaptmp_002758	DUF1540 domain-containing protein	WP_003372123.1	79930	80286
pgaptmp_002759	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	WP_017353876.1	80493	81860
pgaptmp_002760	NTP transferase domain-containing protein	WP_012450813.1	82075	83001
pgaptmp_002761	xanthine dehydrogenase family protein molybdopterin-binding subunit	WP_012423630.1	83124	85253
pgaptmp_002762	(2Fe-2S)-binding protein	WP_003372645.1	85255	85731
pgaptmp_002763	FAD binding domain-containing protein	WP_017826725.1	85725	86543
pgaptmp_002764	DUF3955 domain-containing protein	WP_012422785.1	86949	87173
pgaptmp_002765	DUF2975 domain-containing protein	WP_012450122.1	87327	87821
pgaptmp_002766	helix-turn-helix domain-containing protein	WP_003374475.1	87840	88046
pgaptmp_002767	pseudouridine synthase	WP_012423584.1	88139	88951
pgaptmp_002768	HNH endonuclease	WP_019849931.1	88938	89462
pgaptmp_002769	class I SAM-dependent methyltransferase	WP_003357030.1	90290	90916
pgaptmp_002770	trans-sulfuration enzyme family protein	WP_007061010.1	90934	92079
pgaptmp_002771	S-ribosylhomocysteine lyase	WP_003361512.1	92079	92531
pgaptmp_002772	PLP-dependent cysteine synthase family protein	WP_011987678.1	92515	93423
pgaptmp_002773	esterase/lipase family protein	WP_012425860.1	94768	96105
pgaptmp_002774	esterase/lipase family protein	WP_017826721.1	96173	97756
pgaptmp_002775	carbon-nitrogen family hydrolase	WP_017826717.1	97995	98774
pgaptmp_002776	thioredoxin-dependent thiol peroxidase	WP_012424515.1	98871	99323
pgaptmp_002777	amidohydrolase	WP_012450521.1	99483	100661
pgaptmp_002778	metal-sensing transcriptional repressor	WP_002582464.1	100939	101205
pgaptmp_002779	heavy metal translocating P-type ATPase	WP_012451592.1	101337	103766
pgaptmp_002780	heavy-metal-associated domain-containing protein	WP_012450721.1	103961	104164
pgaptmp_002781	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	WP_003371298.1	104440	106320
pgaptmp_002782	hypothetical protein	WP_017353889.1	106719	107018
pgaptmp_002783	GntR family transcriptional regulator	WP_012423201.1	107338	107715
pgaptmp_002784	ABC transporter ATP-binding protein	WP_017353891.1	107715	108575
pgaptmp_002785	ABC-2 transporter permease	WP_012423212.1	108575	109222
pgaptmp_002786	hypothetical protein	WP_012424234.1	109554	110513
pgaptmp_002787	prepilin peptidase	WP_012424746.1	111022	111780
pgaptmp_002788	GspE/PulE family protein	WP_003369440.1	111841	113529
pgaptmp_002789	type II secretion system F family protein	WP_003373598.1	113637	114839
pgaptmp_002790	prepilin-type N-terminal cleavage/methylation domain-containing protein	WP_017826710.1	115136	115585
pgaptmp_002791	type II secretion system protein	WP_012449756.1	115731	116201
pgaptmp_002792	pilus assembly protein PilM	WP_012450460.1	116406	117572
pgaptmp_002793	PilN domain-containing protein	WP_012425829.1	117587	118150
pgaptmp_002794	pilus assembly protein PilO	WP_017826707.1	118147	119418
pgaptmp_002795	PulJ/GspJ family protein	WP_012451817.1	119429	120346
pgaptmp_002796	polymer-forming cytoskeletal protein	WP_012450763.1	120358	122721
pgaptmp_002797	PilW family protein	WP_012450180.1	122738	123259
pgaptmp_002798	vWA domain-containing protein	WP_003372579.1	123354	125732
pgaptmp_002799	pyridoxal phosphate-dependent aminotransferase	WP_012451908.1	125770	126954
pgaptmp_002800	methyl-accepting chemotaxis protein	WP_003374499.1	127193	128437
pgaptmp_002801	peptidoglycan recognition protein family protein	WP_012450146.1	128664	129425
pgaptmp_002802	hydrolase	WP_003371420.1	130256	130930
pgaptmp_002803	diaminopimelate decarboxylase	WP_012450156.1	131616	132911
pgaptmp_002804	signal peptidase I	WP_017354271.1	133191	133709
pgaptmp_002805	signal peptidase I	WP_003372093.1	133776	134303
pgaptmp_002806	DUF3006 domain-containing protein	WP_012422792.1	134437	134655
pgaptmp_002807	ATP-dependent zinc metalloprotease FtsH	WP_017826698.1	134700	136796
pgaptmp_002808	HelD family protein	WP_012449791.1	137140	139251
pgaptmp_002809	ABC transporter substrate-binding protein	WP_017826696.1	139635	140471
pgaptmp_002810	amino acid ABC transporter permease	WP_003371269.1	140556	141215
pgaptmp_002811	amino acid ABC transporter ATP-binding protein	WP_012341969.1	141202	141924
pgaptmp_002812	methyl-accepting chemotaxis protein	WP_012423471.1	142455	143921
pgaptmp_002813	hypothetical protein	-2+	144086	144394
pgaptmp_002814	hypothetical protein	-2+	144448	144735
pgaptmp_002815	hypothetical protein	-2+	145173	145313
pgaptmp_002816	hypothetical protein	-2+	145362	145544
pgaptmp_002817	hypothetical protein	WP_012422705.1	145752	146123
pgaptmp_002818	hypothetical protein	WP_012423425.1	146626	147093
pgaptmp_002819	thiamine pyrophosphate-binding protein	WP_012424591.1	147080	148711
pgaptmp_002820	hypothetical protein	WP_012425369.1	149389	149706
pgaptmp_002821	cation diffusion facilitator family transporter	WP_012423126.1	149855	151030
pgaptmp_002822	M18 family aminopeptidase	WP_017826691.1	151460	152749
pgaptmp_002823	DeoR/GlpR family DNA-binding transcription regulator	WP_003370607.1	152877	153668
pgaptmp_002824	L-ascorbate 6-phosphate lactonase	WP_003461512.1	153980	155044
pgaptmp_002825	PTS sugar transporter subunit IIA	WP_012449831.1	155211	155654
pgaptmp_002826	PTS ascorbate transporter subunit IIC	WP_012424928.1	155749	157206
pgaptmp_002827	PTS sugar transporter subunit IIB	WP_015394414.1	157400	157693
pgaptmp_002828	hypothetical protein	WP_003468440.1	157832	158869
pgaptmp_002829	L-ribulose-5-phosphate 4-epimerase	WP_003371766.1	158963	159652
pgaptmp_002830	L-ribulose-5-phosphate 3-epimerase	WP_017353334.1	159739	160584
pgaptmp_002831	MBL fold metallo-hydrolase	WP_012424585.1	160933	163035
pgaptmp_002832	hypothetical protein	WP_003373312.1	163561	163812
pgaptmp_002833	N-acetylmuramoyl-L-alanine amidase family protein	WP_017353338.1	165355	167676
pgaptmp_002834	N-acetylmuramoyl-L-alanine amidase family protein	WP_017826683.1	168394	170184
pgaptmp_002835	type VII toxin-antitoxin system HepT family RNase toxin	WP_011987374.1	170383	170790
pgaptmp_002836	O-antigen ligase family protein	WP_012423651.1	170886	172721
pgaptmp_002837	undecaprenyl-phosphate glucose phosphotransferase	WP_012422936.1	173129	174568
pgaptmp_002838	glycosyltransferase family 2 protein		174754	175497
pgaptmp_002839	non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase	WP_014253666.1	175550	176701
pgaptmp_002840	ABC transporter permease		176722	177528
pgaptmp_002841	ABC transporter ATP-binding protein		177546	178346
pgaptmp_002842	class I SAM-dependent methyltransferase		178365	179450
pgaptmp_002843	glycosyltransferase		179462	182773
pgaptmp_002844	DUF6270 domain-containing protein		182782	183897
pgaptmp_002845	CgeB family protein		184116	185669
pgaptmp_002846	nucleotide sugar dehydrogenase	WP_003495087.1	185757	187016
pgaptmp_002847	MBOAT family O-acyltransferase	WP_011968430.1	187298	188899
pgaptmp_002848	hypothetical protein	WP_003371789.1	188886	190232
pgaptmp_002849	amino acid adenylation domain-containing protein	WP_017210808.1	190257	191774
pgaptmp_002850	acyl carrier protein	WP_015390987.1	191798	192025
pgaptmp_002851	hypothetical protein	-2+	192426	192572
pgaptmp_002852	phage replisome organizer N-terminal domain-containing protein	WP_003372655.1	192812	193681
pgaptmp_002853	AAA family ATPase	WP_017353359.1	193857	195539
pgaptmp_002854	methyl-accepting chemotaxis protein	WP_017353360.1	196372	198087
pgaptmp_002855	M13 family metallopeptidase	WP_017353361.1	198456	200495
pgaptmp_002856	AAA family ATPase	WP_017210222.1	200669	202351
pgaptmp_002857	DUF2334 domain-containing protein	WP_017826879.1	202435	203916
pgaptmp_002858	DUF4160 domain-containing protein	WP_009172744.1	204169	204429
pgaptmp_002859	DUF2442 domain-containing protein	WP_009172743.1	204444	204740
pgaptmp_002860	N-acetylmuramoyl-L-alanine amidase family protein	WP_017826683.1	205166	206938
pgaptmp_002861	cell surface protein	WP_003373674.1	207160	209448
pgaptmp_002862	cadherin-like beta sandwich domain-containing protein	WP_017826876.1	210055	211734
pgaptmp_002863	cadherin-like beta sandwich domain-containing protein	WP_003372075.1	211992	214226
pgaptmp_002864	N-acetylmuramoyl-L-alanine amidase family protein	WP_012450883.1	214841	216658
pgaptmp_002865	hypothetical protein	WP_012425500.1	216781	217098
pgaptmp_002866	N-acetylmuramoyl-L-alanine amidase family protein	WP_017353366.1	217584	219068
pgaptmp_002867	cadherin-like beta sandwich domain-containing protein	WP_017353367.1	219355	220266
pgaptmp_002868	cadherin-like beta sandwich domain-containing protein	WP_012424359.1	220490	221836
pgaptmp_002869	cadherin-like beta sandwich domain-containing protein	WP_012451947.1	221986	223212
pgaptmp_002870	cadherin-like beta sandwich domain-containing protein	WP_017353370.1	223866	225299
pgaptmp_002871	diguanylate cyclase	WP_017353371.1	225343	227430
pgaptmp_002872	hypothetical protein	WP_012449698.1	227723	228274
pgaptmp_002873	InlB B-repeat-containing protein	WP_017826865.1	228371	232573
pgaptmp_002874	peptide chain release factor 3	WP_003374611.1	233009	234604
pgaptmp_002875	hypothetical protein	WP_012451242.1	235047	235487
pgaptmp_002876	3D domain-containing protein	WP_003370887.1	235836	236279
pgaptmp_002877	sigma-54-dependent Fis family transcriptional regulator	WP_012425625.1	236585	238498
pgaptmp_002878	iron-containing alcohol dehydrogenase	WP_003372540.1	239144	240310
pgaptmp_002879	sulfide/dihydroorotate dehydrogenase-like FAD/NAD-binding protein	WP_002579309.1	240714	241601
pgaptmp_002880	NADPH-dependent glutamate synthase	WP_012449917.1	241601	242992
pgaptmp_002881	methyl-accepting chemotaxis protein	WP_017826862.1	243544	245598
pgaptmp_002882	histidinol-phosphatase HisJ family protein	WP_003372982.1	245814	246611
pgaptmp_002883	NAD(P)/FAD-dependent oxidoreductase	WP_003374134.1	247120	247986
pgaptmp_002884	thioredoxin	WP_003369224.1	248097	248408
pgaptmp_002885	pyridoxamine kinase	WP_003372592.1	248656	249486
pgaptmp_002886	Cof-type HAD-IIB family hydrolase	WP_012424617.1	249781	250608
pgaptmp_002887	ATP cone domain-containing protein	WP_012424166.1	250863	251132
pgaptmp_002888	N-acetylmuramoyl-L-alanine amidase	WP_017825504.1	251473	253686
pgaptmp_002889	N-acetylmuramoyl-L-alanine amidase	WP_003373418.1	254000	255997
pgaptmp_002890	N-acetylmuramoyl-L-alanine amidase family protein	WP_003373689.1	256555	259539
pgaptmp_002891	hypothetical protein	WP_017825502.1	259835	260458
pgaptmp_002892	YcxB family protein	WP_017825501.1	260812	261357
pgaptmp_002893	NTP transferase domain-containing protein	WP_012423274.1	262082	263941
pgaptmp_002894	CTP--phosphocholine cytidylyltransferase	WP_012450470.1	263956	264654
pgaptmp_002895	flippase	WP_012424072.1	264907	266373
pgaptmp_002896	hypothetical protein	WP_012424286.1	266744	267451
pgaptmp_002897	DMT family transporter	WP_017825622.1	267707	268678
pgaptmp_002898	diguanylate cyclase domain-containing protein	WP_012450832.1	269184	271190
pgaptmp_002899	Cof-type HAD-IIB family hydrolase	WP_003374317.1	271244	272110
pgaptmp_002900	ABC transporter substrate-binding protein	WP_012424062.1	272325	273647
pgaptmp_002901	carbohydrate ABC transporter permease	WP_003370503.1	274107	274994
pgaptmp_002902	carbohydrate ABC transporter permease	WP_017825627.1	275247	276158
pgaptmp_002903	glycosyltransferase family 2 protein	WP_003372935.1	276656	277663
pgaptmp_002904	LicD family protein	WP_003374280.1	277937	278815
pgaptmp_002905	glycosyltransferase family 2 protein	WP_017825629.1	279050	280033
pgaptmp_002906	polysaccharide biosynthesis protein	WP_012423467.1	280098	281960
pgaptmp_002907	O-antigen ligase family protein	WP_017353658.1	281963	283453
pgaptmp_002908	non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase	WP_003424107.1	283494	284558
pgaptmp_002909	glycosyltransferase	WP_012424581.1	285004	286254
pgaptmp_002910	response regulator transcription factor	WP_012425681.1	286537	287265
pgaptmp_002911	HAMP domain-containing sensor histidine kinase	WP_012425125.1	287292	288677
pgaptmp_002912	hypothetical protein	WP_012424207.1	288860	289444
pgaptmp_002913	cell wall-binding protein	WP_012424749.1	289784	291565
pgaptmp_002914	glycosyltransferase family 4 protein	WP_002579099.1	291998	293218
pgaptmp_002915	sugar transferase	WP_012450261.1	293369	293974
pgaptmp_002916	Gfo/Idh/MocA family protein	WP_015395399.1	294203	295306
pgaptmp_002917	branched-chain amino acid transport system II carrier protein	WP_003369643.1	295471	296742
pgaptmp_002918	UTP--glucose-1-phosphate uridylyltransferase GalU	WP_012425845.1	297090	297962
pgaptmp_002919	tryptophan--tRNA ligase	WP_012423211.1	298040	299050
pgaptmp_002920	ECF transporter S component	WP_012451833.1	299320	299868
pgaptmp_002921	GerAB/ArcD/ProY family transporter	WP_012424728.1	300252	301349
pgaptmp_002922	spore germination protein	WP_012422629.1	301529	302926
pgaptmp_002923	Ger(x)C family spore germination protein	WP_012450777.1	302926	304044
pgaptmp_002924	tyrosine--tRNA ligase	WP_012060770.1	304225	305445
pgaptmp_002925	flagellar hook-length control protein FliK	WP_003372609.1	305912	307795
pgaptmp_002926	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	WP_003374189.1	307843	308103
pgaptmp_002927	metallophosphoesterase	WP_003372663.1	308134	308826
pgaptmp_002928	peptidoglycan-binding protein	WP_012424937.1	309118	311496
pgaptmp_002929	methyl-accepting chemotaxis protein	WP_003369677.1	311668	312633
pgaptmp_002930	DUF2225 domain-containing protein	WP_012424984.1	312680	313360
pgaptmp_002931	GTP pyrophosphokinase	WP_008421692.1	313547	314338
pgaptmp_002932	hypothetical protein	WP_003374543.1	314417	315196
pgaptmp_002933	AAA family ATPase	WP_017826804.1	315454	316542
pgaptmp_002934	vWA domain-containing protein	WP_012449938.1	316658	317989
pgaptmp_002935	hypothetical protein	WP_003370199.1	318043	318738
pgaptmp_002936	HesB-like protein	WP_012423542.1	318780	319109
pgaptmp_002937	hypothetical protein	WP_012424129.1	319353	320102
pgaptmp_002938	acyltransferase	WP_012425430.1	320791	321522
pgaptmp_002939	methyl-accepting chemotaxis protein	WP_003372996.1	321627	323729
pgaptmp_002940	leucine--tRNA ligase	WP_012060745.1	324383	326833
pgaptmp_002941	sodium/proline symporter PutP	WP_012451375.1	327501	328973
pgaptmp_002953	hypothetical protein	WP_003371428.1	1	235
pgaptmp_002954	phosphoribosylamine--glycine ligase	WP_012423736.1	364	1614
pgaptmp_002955	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	WP_011968402.1	1866	3371
pgaptmp_002956	phosphoribosylglycinamide formyltransferase	WP_017826400.1	3520	4134
pgaptmp_002957	phosphoribosylformylglycinamidine cyclo-ligase	WP_010964702.1	4122	5123
pgaptmp_002958	amidophosphoribosyltransferase	WP_003373905.1	5133	6560
pgaptmp_002959	phosphoribosylaminoimidazolesuccinocarboxamide synthase	WP_002579501.1	6932	7639
pgaptmp_002960	5-(carboxyamino)imidazole ribonucleotide mutase	WP_003453078.1	7639	8118
pgaptmp_002961	phosphoribosylformylglycinamidine synthase	WP_003374583.1	8375	12121
pgaptmp_002962	chloride channel protein	WP_012451322.1	12510	13766
pgaptmp_002963	zinc-ribbon domain-containing protein	WP_003407210.1	13858	14013
pgaptmp_002964	amino acid ABC transporter ATP-binding protein	WP_017825572.1	14164	14844
pgaptmp_002965	amino acid ABC transporter permease	WP_003374378.1	14861	15502
pgaptmp_002966	amino acid ABC transporter substrate-binding protein	WP_012422944.1	15518	16324
pgaptmp_002967	MerR family transcriptional regulator	WP_012450280.1	16757	17569
pgaptmp_002968	MATE family efflux transporter	WP_012424077.1	17659	19038
pgaptmp_002969	coiled-coil domain-containing protein	WP_017825570.1	19372	19893
pgaptmp_002970	dicarboxylate/amino acid:cation symporter	WP_017825569.1	20182	21492
pgaptmp_002971	SPFH domain-containing protein	WP_012422913.1	21928	22875
pgaptmp_002972	NfeD family protein	WP_003368981.1	22868	23311
pgaptmp_002973	NAD(+) synthase	WP_003374210.1	23613	25511
pgaptmp_002974	branched-chain amino acid aminotransferase	WP_003369397.1	25664	26692
pgaptmp_002975	elongation factor P 5-aminopentanone reductase	WP_012449605.1	26886	27629
pgaptmp_002976	dipeptidase	WP_012451471.1	27973	28908
pgaptmp_002977	metallophosphoesterase	WP_017825565.1	28935	29849
pgaptmp_002978	serine hydroxymethyltransferase	WP_003371925.1	30080	31315
pgaptmp_002979	ASCH domain-containing protein	WP_012423741.1	31436	31909
pgaptmp_002981	DUF2935 domain-containing protein	WP_003373872.1	32478	33389
pgaptmp_002982	hypothetical protein	WP_003373666.1	33746	34129
pgaptmp_002983	hypothetical protein	WP_012423089.1	34301	34444
pgaptmp_002984	hypothetical protein	WP_017825562.1	34511	35374
pgaptmp_002985	branched-chain amino acid transport system II carrier protein	WP_003369969.1	35481	36773
pgaptmp_002986	hypothetical protein	-2+	37222	37380
pgaptmp_002987	ABC-F family ATP-binding cassette domain-containing protein	WP_003371487.1	37488	39044
pgaptmp_002988	calcium/sodium antiporter	WP_003373684.1	39473	40465
pgaptmp_002989	cation diffusion facilitator family transporter	WP_003374613.1	40661	41554
pgaptmp_002990	threonine/serine exporter family protein	WP_012425416.1	41797	42255
pgaptmp_002991	threonine/serine exporter family protein	WP_003374085.1	42256	43020
pgaptmp_002992	threonine ammonia-lyase	WP_008420832.1	43348	44568
pgaptmp_002993	hypothetical protein	WP_003371639.1	44638	44946
pgaptmp_002994	thioredoxin family protein	WP_017352336.1	45215	45538
pgaptmp_002995	methyl-accepting chemotaxis protein	WP_017352335.1	45679	47739
pgaptmp_002996	DUF350 domain-containing protein	WP_012449549.1	48067	48276
pgaptmp_002997	glutathionylspermidine synthase family protein	WP_017352334.1	48311	50614
pgaptmp_002998	hypothetical protein	WP_012423026.1	50635	50931
pgaptmp_002999	normocyte-binding protein	WP_012423933.1	50931	51557
pgaptmp_003000	hypothetical protein	WP_003370308.1	51563	51946
pgaptmp_003001	AI-2E family transporter	WP_012424989.1	52041	53189
pgaptmp_003002	HAD family hydrolase	WP_012425714.1	53355	54008
pgaptmp_003003	ribonuclease Z	WP_017825121.1	54157	55104
pgaptmp_003004	Na/Pi cotransporter family protein	WP_003369735.1	55225	56826
pgaptmp_003005	DUF445 domain-containing protein	WP_012450136.1	56953	57561
pgaptmp_003006	uridine kinase	WP_003369232.1	57751	58362
pgaptmp_003007	rubrerythrin	WP_003373915.1	58747	59286
pgaptmp_003008	hypothetical protein	WP_003373442.1	59426	60433
pgaptmp_003009	CarD family transcriptional regulator	WP_003374655.1	60762	61244
pgaptmp_003010	cell shape-determining protein	WP_012450899.1	61426	63051
pgaptmp_003011	hypothetical protein	WP_003369031.1	63318	63614
pgaptmp_003012	APC family permease	WP_017352327.1	63738	65165
pgaptmp_003013	glutamate synthase subunit beta	WP_017825125.1	65391	66863
pgaptmp_003014	glutamate synthase large subunit	WP_012451604.1	66876	71447
pgaptmp_003015	hypothetical protein		71574	71648
pgaptmp_003016	aspartate kinase	WP_012450428.1	72431	73741
pgaptmp_003017	DUF1667 domain-containing protein	WP_003369216.1	74131	74484
pgaptmp_003018	NAD(P)/FAD-dependent oxidoreductase	WP_003374102.1	74486	75739
pgaptmp_003019	NAD(P)/FAD-dependent oxidoreductase	WP_003374302.1	75752	77182
pgaptmp_003020	glycerol kinase GlpK	WP_012424579.1	77338	78834
pgaptmp_003021	glycerol-3-phosphate responsive antiterminator	WP_017825128.1	78946	79506
pgaptmp_003022	homoserine dehydrogenase	WP_017352324.1	79870	81171
pgaptmp_003023	metalloregulator ArsR/SmtB family transcription factor	WP_012450848.1	81511	82266
pgaptmp_003024	rhodanese-like domain-containing protein	WP_012423405.1	82398	82718
pgaptmp_003025	DUF554 domain-containing protein	WP_017825149.1	82870	83568
pgaptmp_003026	fused DSP-PTPase phosphatase/NAD kinase-like protein	WP_003370937.1	83752	84678
pgaptmp_003027	aspartate--tRNA ligase	WP_012449867.1	84745	86544
pgaptmp_003028	histidine--tRNA ligase	WP_017825151.1	86770	88023
pgaptmp_003029	coproporphyrinogen III oxidase	WP_003371357.1	88089	89510
pgaptmp_003030	MBL fold metallo-hydrolase	WP_017352317.1	89520	90122
pgaptmp_003031	D-aminoacyl-tRNA deacylase	WP_003451157.1	90154	90603
pgaptmp_003032	RelA/SpoT family protein	WP_012450200.1	90615	92801
pgaptmp_003033	adenine phosphoribosyltransferase	WP_012424264.1	92908	93426
pgaptmp_003034	DHH family phosphoesterase	WP_003372257.1	93467	94330
pgaptmp_003035	protein translocase subunit SecF		94639	95550
pgaptmp_003036	protein translocase subunit SecD	WP_017208832.1	95545	96801
pgaptmp_003037	TIGR04086 family membrane protein	WP_012422654.1	97049	97423
pgaptmp_003038	preprotein translocase subunit YajC	WP_017352314.1	97485	97760
pgaptmp_003039	tRNA guanosine(34) transglycosylase Tgt	WP_003370654.1	97868	99007
pgaptmp_003040	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	WP_017825157.1	99149	100174
pgaptmp_003041	Holliday junction branch migration DNA helicase RuvB	WP_012423261.1	100193	101227
pgaptmp_003042	Holliday junction branch migration protein RuvA	WP_012425486.1	101263	101859
pgaptmp_003043	hypothetical protein	WP_012424791.1	102116	102697
pgaptmp_003044	radical SAM/SPASM domain-containing protein	WP_012425774.1	102790	103659
pgaptmp_003045	methyl-accepting chemotaxis protein	WP_012423184.1	103942	105930
pgaptmp_003046	glycerol dehydrogenase	WP_003372104.1	106319	107404
pgaptmp_003047	agmatinase	WP_017352214.1	107545	108390
pgaptmp_003048	PAS domain S-box protein	WP_012422853.1	108671	110839
pgaptmp_003049	carboxynorspermidine decarboxylase	WP_012423556.1	110947	112089
pgaptmp_003050	saccharopine dehydrogenase family protein	WP_002579269.1	112188	113387
pgaptmp_003051	polyamine aminopropyltransferase	WP_012450620.1	113427	114281
pgaptmp_003052	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	WP_012423322.1	114281	115738
pgaptmp_003053	adenosylmethionine decarboxylase	WP_012424034.1	115755	116573
pgaptmp_003054	hypothetical protein	WP_012423838.1	117122	117460
pgaptmp_003055	YebC/PmpR family DNA-binding transcriptional regulator	WP_012060379.1	117949	118689
pgaptmp_003056	YigZ family protein	WP_012423457.1	118876	119523
pgaptmp_003057	PLP-dependent aminotransferase family protein	WP_003374294.1	119511	120938
pgaptmp_003058	nucleotidyltransferase domain-containing protein	WP_012425802.1	120959	121867
pgaptmp_003059	GTPase HflX	WP_012424096.1	122103	123920
pgaptmp_003060	hypoxanthine phosphoribosyltransferase	WP_012424827.1	124472	124993
pgaptmp_003061	sporulation protein YunB	WP_012449852.1	125091	125738
pgaptmp_003062	transglycosylase domain-containing protein	WP_017826911.1	125840	128356
pgaptmp_003063	alanine/glycine:cation symporter family protein	WP_003370842.1	128678	130078
pgaptmp_003064	YcdB/YcdC domain-containing protein	WP_003373125.1	130226	131083
pgaptmp_003065	GNAT family N-acetyltransferase	WP_012450076.1	131157	132260
pgaptmp_003066	helix-turn-helix domain-containing protein	WP_003451138.1	132627	133166
pgaptmp_003067	spermidine/putrescine ABC transporter ATP-binding protein	WP_012424420.1	133191	134240
pgaptmp_003068	ABC transporter permease	WP_003373289.1	134233	135075
pgaptmp_003069	ABC transporter permease	WP_003374695.1	135069	135869
pgaptmp_003070	ABC transporter substrate-binding protein	WP_003374332.1	135856	136920
pgaptmp_003071	nucleoside-diphosphate kinase	WP_012424645.1	137109	137528
pgaptmp_003072	acylphosphatase	WP_012060390.1	137638	137910
pgaptmp_003073	alanine/glycine:cation symporter family protein	WP_003373822.1	138016	139443
pgaptmp_003074	GNAT family N-acetyltransferase	WP_012423383.1	139954	140388
pgaptmp_003075	phosphatase	WP_003371069.1	140579	141316
pgaptmp_003076	Cof-type HAD-IIB family hydrolase	WP_017826915.1	141529	142317
pgaptmp_003077	D-2-hydroxyacid dehydrogenase	WP_005213833.1	142667	143626
pgaptmp_003078	50S ribosomal protein L11 methyltransferase	WP_017352195.1	143805	144683
pgaptmp_003079	response regulator	WP_012423413.1	144863	145570
pgaptmp_003080	DUF4118 domain-containing protein	WP_017826917.1	145563	148265
pgaptmp_003081	potassium-transporting ATPase subunit KdpC	WP_012450954.1	148433	149038
pgaptmp_003082	potassium-transporting ATPase subunit KdpB	WP_017352191.1	149056	151122
pgaptmp_003083	potassium-transporting ATPase subunit KdpA	WP_003369257.1	151138	152877
pgaptmp_003084	glycogen/starch/alpha-glucan phosphorylase	WP_012450050.1	153394	155754
pgaptmp_003085	4-alpha-glucanotransferase	WP_017352188.1	155754	157241
pgaptmp_003086	LacI family DNA-binding transcriptional regulator	WP_012423673.1	157389	158408
pgaptmp_003087	PucR family transcriptional regulator	WP_017826924.1	158570	159511
pgaptmp_003088	ABC transporter ATP-binding protein	WP_003454369.1	159533	160642
pgaptmp_003089	hypothetical protein	WP_012425498.1	160795	161832
pgaptmp_003090	phosphodiester glycosidase family protein	WP_012450785.1	161851	162894
pgaptmp_003091	hypothetical protein	-2+	163133	163669
pgaptmp_003092	GNAT family N-acetyltransferase	WP_012422679.1	164002	164568
pgaptmp_003093	GH25 family lysozyme	WP_017353964.1	164715	165509
pgaptmp_003094	BhlA/UviB family holin-like peptide	WP_012423645.1	165647	165847
pgaptmp_003095	hypothetical protein	WP_003432434.1	165980	166156
pgaptmp_003096	hypothetical protein	WP_002580943.1	166158	166532
pgaptmp_003097	hypothetical protein	-2+	166584	168257
pgaptmp_003098	YmfQ family protein	WP_012450245.1	168272	168886
pgaptmp_003099	hypothetical protein	WP_017353967.1	168888	171353
pgaptmp_003100	baseplate J/gp47 family protein	WP_012450854.1	171354	172412
pgaptmp_003101	DUF2634 domain-containing protein	WP_012451369.1	172415	172822
pgaptmp_003102	DUF2577 domain-containing protein	WP_017353970.1	172815	173144
pgaptmp_003103	XkdQ/YqbQ family protein	WP_012451227.1	173148	174119
pgaptmp_003104	LysM peptidoglycan-binding domain-containing protein	WP_012451299.1	174131	174793
